source,target,original_size,new_size,before_dimensions,after_dimensions
"assets/images/traditional-swim-pool.jpg","assets/media/pages/traditional-swim-pool.jpg","1530910","921739","1216x811","2000x1334"
"assets/images/waterfall.jpg","assets/media/pricing/waterfall.jpg","226484","226484","800x800","800x800"
"assets/images/waterfront/aquascape-waterfront-hero-image.jpg","assets/media/series/waterfront/aquascape-waterfront-hero-image.jpg","570677","413472","1159x752","2000x1297"
"assets/images/waterfront/aquascape-waterfront1.jpg","assets/media/series/waterfront/aquascape-waterfront1.jpg","116342","116342","640x480","640x480"
"assets/images/waterfront/aquascape-waterfront2.jpg","assets/media/series/waterfront/aquascape-waterfront2.jpg","110167","110167","640x480","640x480"
"assets/images/waterfront/aquascape-waterfront3.jpg","assets/media/series/waterfront/aquascape-waterfront3.jpg","178502","178502","960x720","960x720"
"assets/images/waterfront/aquascape-waterfront4.jpg","assets/media/series/waterfront/aquascape-waterfront4.jpg","199067","199067","960x640","960x640"
"assets/images/waterfront/aquascape-waterfront5.jpg","assets/media/series/waterfront/aquascape-waterfront5.jpg","121434","121434","640x480","640x480"
"assets/images/waterfront/aquascape-waterfront6.jpg","assets/media/series/waterfront/aquascape-waterfront6.jpg","223022","223022","736x1104","736x1104"
"assets/images/waterfront/aquascape-waterfront7.jpg","assets/media/series/waterfront/aquascape-waterfront7.jpg","57578","57578","427x640","427x640"
